id;name
1;Basses côtes
2;Côtes, entrecôtes
3;Faux-filet
4;Filet
5;Rumsteck
6;Rond de gîte
7;Tende de tranche: poire, merlan
8;Gîte à la noix
9;Araignée
10;Plat de tranche, rond de tranche, mouvant
11;Bavette d'aloyau
12;Hampe
13;Onglet
14;Aiguillette baronne
15;Bavette de flanchet
16;Plat de côtes
17;Macreuse à bifteck
18;Paleron
19;Jumeau à bifteck
20;Jumeau à pot-au-feu
21;Macreuse à pot-au-feu
22;Queue
23;Gîte
24;Flanchet
25;Tendron, milieu de poitrine
26;Gros bout de poitrine
27;Collier
28;Plat de joue
29;Langue
