beef_part_price_id;discount;valid_until
3;0.8;2023-07-27T07:04:46+00:00
12;3.51;2023-08-02T20:58:39+00:00
15;0.72;2023-10-04T02:45:06+00:00
21;6.22;2023-06-01T18:54:01+00:00
25;5.06;2023-05-23T22:03:54+00:00
26;4.71;2023-10-02T22:35:33+00:00
29;1.76;2023-07-04T05:09:22+00:00
38;5.05;2023-09-01T04:41:54+00:00
40;1.93;2023-11-02T09:01:37+00:00
44;1.45;2023-08-13T19:33:52+00:00
50;3.34;2023-09-16T18:16:06+00:00
52;4.4;2023-09-24T08:36:15+00:00
57;3.39;2023-11-29T05:06:16+00:00
61;4.7;2023-09-27T00:48:07+00:00
62;3.95;2023-05-02T16:29:24+00:00
68;1.36;2023-07-29T17:12:22+00:00
77;1.33;2023-09-09T05:01:45+00:00
78;6.41;2023-10-29T16:55:06+00:00
82;0.7;2023-08-22T13:28:31+00:00
85;2.72;2023-10-11T09:53:28+00:00
87;5.82;2023-08-25T11:36:13+00:00
93;4.9;2023-07-10T19:22:40+00:00
95;0.95;2023-05-24T19:57:23+00:00
97;1.69;2023-11-28T10:41:57+00:00
108;6.34;2023-09-06T14:19:32+00:00
111;1.09;2023-11-01T20:51:09+00:00
112;1.81;2023-09-02T05:37:12+00:00
119;6.56;2023-07-14T05:16:44+00:00
123;2.45;2023-07-29T06:38:00+00:00
125;1.43;2023-09-01T22:48:47+00:00
128;0.76;2023-06-06T22:25:36+00:00
132;0.99;2023-06-24T17:52:00+00:00
133;1.22;2023-11-29T19:17:04+00:00
137;1.56;2023-09-08T17:17:45+00:00
149;1.03;2023-07-07T20:36:18+00:00
153;2.68;2023-09-27T04:01:56+00:00
171;1.35;2023-08-24T09:44:06+00:00
175;3.38;2023-07-04T15:10:04+00:00
176;0.8;2023-07-26T13:32:54+00:00
177;3.43;2023-06-27T16:52:07+00:00
181;1.53;2023-08-09T02:39:27+00:00
183;1.41;2023-09-06T13:15:41+00:00
187;0.97;2023-08-03T02:12:23+00:00
191;2.84;2023-05-27T06:42:18+00:00
200;0.84;2023-10-27T05:18:06+00:00
212;1.06;2023-10-18T03:39:22+00:00
226;1.44;2023-05-09T20:59:46+00:00
227;2.41;2023-09-30T01:13:40+00:00
230;2.28;2023-09-27T06:06:55+00:00
232;2.98;2023-06-09T17:47:01+00:00
237;1.68;2023-09-19T02:08:23+00:00
238;0.99;2023-11-25T16:23:18+00:00
247;4.63;2023-11-01T12:56:52+00:00
248;3.62;2023-07-09T15:28:44+00:00
258;2.28;2023-10-26T07:23:15+00:00
265;3.13;2023-08-09T03:33:20+00:00
268;4.35;2023-07-11T19:40:03+00:00
273;3.03;2023-07-25T06:54:32+00:00
281;1.83;2023-11-09T19:37:10+00:00
285;2.1;2023-11-16T21:24:28+00:00
289;3.63;2023-10-05T14:56:54+00:00
290;6.74;2023-07-24T08:26:02+00:00
293;3.32;2023-07-09T14:51:22+00:00
295;1.6;2023-08-30T03:29:24+00:00
296;1.78;2023-07-14T18:38:53+00:00
298;6.29;2023-05-25T19:22:31+00:00
327;0.77;2023-06-27T00:01:15+00:00
330;3.05;2023-09-26T15:16:53+00:00
339;2.98;2023-10-25T08:39:23+00:00
344;3.25;2023-10-27T17:58:50+00:00
345;1.93;2023-05-08T00:28:45+00:00
346;1.52;2023-05-12T03:19:34+00:00
347;6.04;2023-06-04T13:11:55+00:00
353;1.58;2023-07-06T12:28:15+00:00
359;4.28;2023-08-18T20:22:04+00:00
360;1.67;2023-05-08T12:35:41+00:00
361;3.22;2023-07-28T05:15:12+00:00
365;1.48;2023-10-28T03:57:54+00:00
367;1.08;2023-08-11T04:56:36+00:00
370;5.36;2023-07-04T08:50:11+00:00
374;3.38;2023-05-01T12:06:04+00:00
378;1.25;2023-08-15T08:42:51+00:00
379;0.8;2023-07-24T12:04:28+00:00
380;1.63;2023-12-01T23:14:25+00:00
389;4.04;2023-09-05T11:34:19+00:00
409;3.38;2023-10-05T23:46:16+00:00
415;1.67;2023-05-05T10:15:51+00:00
419;3.27;2023-11-21T19:03:55+00:00
431;1.55;2023-07-21T06:51:27+00:00
436;4.65;2023-07-27T12:24:52+00:00
438;4.57;2023-05-10T12:37:18+00:00
440;4.46;2023-07-15T11:59:55+00:00
443;2.08;2023-07-14T03:01:24+00:00
444;3.0;2023-06-29T18:09:20+00:00
449;2.6;2023-07-04T04:27:10+00:00
451;0.9;2023-07-08T19:25:43+00:00
455;1.27;2023-06-21T23:29:52+00:00
462;5.01;2023-05-31T12:20:43+00:00
465;4.23;2023-11-07T20:52:35+00:00
468;1.49;2023-10-17T18:15:07+00:00
470;4.66;2023-08-05T10:36:05+00:00
477;5.08;2023-05-17T08:30:16+00:00
478;1.46;2023-10-01T09:18:20+00:00
