id;garden_id;beef_id;beef_part_id;price
1;1;12;3;15.53
2;1;12;5;8.23
3;1;12;23;8.04
4;1;12;9;10.36
5;2;4;20;10.26
6;2;4;15;9.35
7;2;4;27;15.36
8;2;4;11;11.42
9;2;4;16;16.95
10;2;4;22;12.68
11;5;3;3;7.13
12;5;3;12;8.77
13;6;30;16;8.88
14;6;30;1;12.89
15;7;13;26;7.21
16;7;13;21;15.1
17;10;10;29;9.21
18;10;10;13;9.83
19;10;10;28;9.04
20;10;10;22;8.65
21;11;22;5;15.56
22;11;22;1;10.08
23;12;30;26;12.76
24;12;30;29;13.77
25;13;14;12;16.85
26;13;14;27;15.7
27;14;13;11;7.68
28;14;13;27;10.19
29;18;2;25;8.82
30;18;2;2;12.29
31;18;2;19;7.83
32;18;2;8;7.44
33;18;2;16;10.29
34;19;29;5;15.45
35;19;29;10;8.38
36;19;29;1;12.57
37;20;30;26;7.31
38;20;30;22;12.62
39;20;30;3;15.24
40;22;27;15;9.67
41;22;27;12;13.79
42;23;6;1;13.05
43;23;6;21;12.96
44;23;6;4;14.5
45;26;6;20;14.16
46;26;6;12;13.31
47;30;11;10;7.13
48;30;11;28;8.53
49;30;11;5;14.59
50;31;17;6;16.68
51;31;17;26;15.29
52;31;17;18;14.68
53;31;17;14;11.85
54;31;17;19;8.05
55;32;24;26;14.56
56;32;24;18;13.28
57;32;24;20;16.95
58;32;24;7;13.29
59;33;11;27;10.4
60;33;11;16;11.69
61;33;11;8;15.68
62;34;29;23;13.17
63;34;29;9;14.73
64;34;29;24;16.25
65;39;8;5;10.24
66;39;8;15;11.32
67;39;8;10;12.26
68;39;8;26;13.63
69;39;8;29;11.76
70;39;8;9;11.34
71;41;20;18;10.62
72;41;20;17;16.14
73;41;20;27;16.7
74;41;20;26;11.69
75;43;26;14;14.57
76;43;26;11;13.83
77;43;26;8;13.3
78;43;26;12;16.03
79;43;26;27;16.47
80;45;21;21;16.37
81;45;21;11;7.61
82;45;21;10;7.02
83;45;21;3;11.19
84;45;21;25;15.09
85;48;19;21;13.59
86;48;19;14;8.94
87;48;19;22;14.55
88;54;2;14;13.95
89;54;2;19;14.95
90;54;2;26;9.0
91;54;2;28;12.54
92;54;2;6;14.23
93;54;2;10;12.24
94;55;22;28;14.48
95;55;22;21;9.52
96;55;22;1;14.14
97;60;14;5;16.88
98;60;14;4;7.98
99;60;14;1;12.78
100;62;13;3;13.01
101;62;13;28;7.47
102;62;13;13;11.2
