chicken_price_id;discount;valid_until
4;4.72;2023-10-04T18:51:28+00:00
5;2.68;2023-07-28T12:35:27+00:00
6;1.57;2023-09-19T04:10:48+00:00
10;5.83;2023-11-23T02:58:35+00:00
16;1.25;2023-06-20T10:35:41+00:00
17;1.62;2023-11-23T11:28:49+00:00
22;2.28;2023-11-22T00:06:03+00:00
23;2.34;2023-08-15T00:04:34+00:00
26;2.52;2023-06-07T21:09:54+00:00
28;2.64;2023-10-06T06:37:17+00:00
40;4.02;2023-05-17T15:33:31+00:00
41;1.17;2023-09-24T10:59:18+00:00
43;5.45;2023-11-16T13:59:55+00:00
50;1.36;2023-11-04T07:01:15+00:00
62;1.49;2023-11-23T05:10:12+00:00
74;3.02;2023-05-02T05:21:08+00:00
75;1.22;2023-06-12T07:44:42+00:00
76;2.58;2023-08-20T10:45:55+00:00
77;5.08;2023-10-17T21:32:52+00:00
80;5.36;2023-10-23T23:19:08+00:00
83;2.25;2023-05-03T20:08:25+00:00
92;3.07;2023-09-06T00:56:35+00:00
102;4.76;2023-11-17T19:22:42+00:00
106;4.46;2023-08-14T07:04:01+00:00
115;2.71;2023-10-19T00:54:47+00:00
126;6.05;2023-08-21T16:28:29+00:00
127;3.34;2023-09-08T00:38:28+00:00
129;4.06;2023-09-20T14:15:59+00:00
135;4.43;2023-08-28T03:20:54+00:00
136;2.79;2023-11-28T06:07:52+00:00
144;4.41;2023-07-29T11:14:27+00:00
151;3.68;2023-07-08T02:32:46+00:00
161;4.72;2023-09-06T09:25:51+00:00
176;2.32;2023-08-18T10:22:11+00:00
178;4.56;2023-05-14T11:00:24+00:00
179;4.9;2023-11-13T05:17:29+00:00
186;6.22;2023-09-22T13:25:01+00:00
188;5.1;2023-07-13T15:15:14+00:00
195;4.7;2023-08-21T22:14:03+00:00
197;1.37;2023-06-01T20:49:04+00:00
205;1.31;2023-07-06T21:42:58+00:00
206;1.7;2023-06-17T13:11:51+00:00
210;1.68;2023-07-02T01:24:10+00:00
212;3.53;2023-08-22T16:10:29+00:00
222;3.32;2023-08-19T22:13:18+00:00
225;5.56;2023-05-03T07:17:44+00:00
239;2.37;2023-11-28T09:31:53+00:00
266;1.68;2023-07-30T04:43:14+00:00
270;4.37;2023-09-20T04:39:39+00:00
272;5.64;2023-05-31T18:17:14+00:00
274;2.81;2023-05-17T01:22:15+00:00
276;4.33;2023-05-03T02:10:54+00:00
288;1.18;2023-06-16T09:44:44+00:00
289;4.6;2023-08-30T17:37:46+00:00
290;2.89;2023-07-30T10:28:59+00:00
291;2.85;2023-07-22T04:36:13+00:00
297;1.31;2023-07-08T06:51:20+00:00
307;3.06;2023-08-20T20:49:46+00:00
314;4.94;2023-05-01T06:51:55+00:00
315;2.36;2023-05-20T06:38:32+00:00
316;1.15;2023-05-06T13:24:43+00:00
317;4.39;2023-09-29T03:51:14+00:00
324;3.21;2023-11-12T02:02:48+00:00
332;1.43;2023-10-26T16:13:28+00:00
335;2.14;2023-07-12T17:47:58+00:00
339;4.44;2023-11-01T07:21:43+00:00
345;2.55;2023-09-12T14:53:07+00:00
350;4.16;2023-08-22T14:35:36+00:00
351;3.75;2023-10-05T00:25:33+00:00
352;4.66;2023-05-30T15:28:38+00:00
366;3.27;2023-10-02T00:44:57+00:00
367;3.32;2023-08-21T15:54:49+00:00
371;6.55;2023-08-21T13:53:47+00:00
373;2.37;2023-09-19T09:02:24+00:00
380;5.6;2023-08-24T04:11:42+00:00
383;3.55;2023-06-12T12:38:34+00:00
386;2.95;2023-08-05T19:49:14+00:00
387;2.75;2023-07-05T22:27:07+00:00
398;4.07;2023-07-28T06:32:44+00:00
400;4.84;2023-07-15T06:38:44+00:00
406;4.84;2023-09-09T09:05:37+00:00
408;3.95;2023-08-17T09:53:19+00:00
412;5.1;2023-05-06T20:28:21+00:00
416;1.37;2023-10-12T14:44:20+00:00
419;4.57;2023-11-18T00:56:28+00:00
422;4.98;2023-06-09T12:38:14+00:00
440;1.09;2023-07-26T14:29:20+00:00
442;1.05;2023-11-04T15:36:43+00:00
444;1.54;2023-07-03T05:23:16+00:00
446;1.66;2023-07-15T06:20:10+00:00
449;4.73;2023-11-21T15:57:46+00:00
457;2.29;2023-06-26T20:40:35+00:00
466;5.24;2023-05-10T14:51:52+00:00
467;4.48;2023-11-25T15:44:35+00:00
468;2.36;2023-10-06T07:02:59+00:00
472;4.77;2023-10-12T22:18:29+00:00
474;1.6;2023-11-28T03:45:04+00:00
477;5.3;2023-07-11T21:38:55+00:00
478;1.06;2023-10-24T10:16:36+00:00
480;5.0;2023-09-13T13:16:39+00:00
482;1.55;2023-10-11T07:30:44+00:00
485;1.3;2023-08-29T15:28:01+00:00
486;4.31;2023-09-01T04:49:23+00:00
497;1.26;2023-10-18T19:24:36+00:00
500;4.93;2023-11-09T06:14:12+00:00
503;6.68;2023-07-08T18:59:03+00:00
505;1.6;2023-10-14T08:33:45+00:00
510;3.25;2023-11-06T22:07:21+00:00
512;3.1;2023-08-08T06:02:48+00:00
526;5.38;2023-07-27T06:13:39+00:00
529;2.79;2023-06-18T02:43:41+00:00
531;4.34;2023-08-13T21:43:21+00:00
532;5.48;2023-05-19T19:14:13+00:00
534;3.37;2023-08-27T21:03:36+00:00
535;1.15;2023-07-07T16:59:43+00:00
539;1.43;2023-07-29T23:35:36+00:00
540;2.58;2023-07-10T23:54:25+00:00
545;3.22;2023-09-23T12:30:35+00:00
546;5.8;2023-09-27T12:11:36+00:00
570;1.08;2023-11-05T05:23:57+00:00
575;4.68;2023-06-25T14:34:04+00:00
577;3.27;2023-05-15T03:39:37+00:00
578;3.59;2023-05-17T01:25:40+00:00
582;1.5;2023-06-20T02:55:17+00:00
592;3.12;2023-08-19T06:55:05+00:00
611;4.36;2023-09-11T15:22:29+00:00
614;4.54;2023-05-01T08:17:34+00:00
619;4.11;2023-08-28T22:38:48+00:00
631;4.89;2023-06-03T18:19:37+00:00
639;3.31;2023-10-09T11:41:27+00:00
641;2.42;2023-05-04T22:29:24+00:00
643;4.98;2023-09-29T10:57:05+00:00
652;5.22;2023-11-03T23:21:01+00:00
659;2.79;2023-09-13T19:53:56+00:00
660;4.29;2023-09-17T23:12:03+00:00
663;3.05;2023-11-06T02:19:37+00:00
