id;garden_id;chicken_id;price
1;1;11;16.92
2;1;24;16.21
3;1;26;13.34
4;2;35;15.74
5;2;5;13.4
6;2;19;15.72
7;3;35;13.7
8;3;18;12.3
9;4;1;12.88
10;4;38;14.57
11;5;11;15.86
12;5;22;12.1
13;5;27;14.7
14;6;33;10.6
15;7;1;12.95
16;8;29;12.47
17;8;19;16.16
18;8;18;15.8
19;9;18;10.13
20;9;2;11.62
21;10;11;10.21
22;10;2;11.42
23;10;7;11.68
24;11;26;10.79
25;11;14;10.71
26;12;37;12.61
27;13;17;14.86
28;14;13;13.21
29;14;8;13.67
30;15;1;13.36
31;15;2;15.29
32;16;13;12.22
33;17;8;12.22
34;17;33;10.4
35;18;14;12.89
36;18;13;11.1
37;18;41;16.22
38;19;40;12.61
39;19;4;11.26
40;19;41;13.41
41;20;12;11.7
42;20;22;10.76
43;20;30;13.62
44;21;16;14.86
45;21;21;10.6
46;21;42;10.13
47;22;15;13.82
48;23;17;15.85
49;23;43;10.13
50;23;9;13.57
51;24;30;10.82
52;24;25;16.46
53;24;19;14.45
54;25;21;13.15
55;26;16;11.43
56;26;27;15.47
57;26;38;12.52
58;27;1;15.79
59;28;32;12.4
60;28;33;16.52
61;28;37;13.01
62;29;8;14.94
63;29;26;12.92
64;30;1;12.8
65;31;5;15.15
66;31;37;14.8
67;31;1;13.21
68;32;28;16.52
69;32;19;14.08
70;32;9;16.26
71;33;23;13.73
72;33;38;12.18
73;33;7;13.54
74;34;15;10.08
75;35;23;12.19
76;35;15;12.91
77;35;38;16.93
78;36;11;14.59
79;36;20;15.49
80;36;22;13.4
81;37;14;10.05
82;37;43;12.78
83;38;31;11.27
84;38;5;16.56
85;39;10;10.11
86;39;7;15.33
87;40;33;16.27
88;41;35;11.43
89;42;26;10.11
90;42;33;16.96
91;42;27;15.59
92;43;8;10.22
93;43;2;15.29
94;43;1;16.93
95;44;9;12.01
96;45;42;11.01
97;45;36;15.02
98;45;16;15.79
99;46;23;13.18
100;46;11;13.2
101;46;17;12.56
102;47;40;11.89
103;48;3;11.77
104;48;42;15.42
105;49;7;16.77
106;50;31;14.88
107;51;17;14.57
108;52;23;12.38
109;53;13;13.44
110;54;31;14.43
111;54;22;16.76
112;55;27;10.52
113;56;13;10.55
114;56;22;15.22
115;57;41;13.53
116;57;9;14.68
117;57;3;11.38
118;58;4;13.71
119;59;27;12.86
120;59;35;14.07
121;60;38;12.19
122;61;25;10.7
123;61;26;15.61
124;62;9;15.82
125;62;12;11.77
126;62;30;15.13
127;63;6;11.13
128;63;11;13.36
129;64;42;10.16
130;65;35;14.43
131;66;38;11.1
132;66;9;13.26
133;67;17;15.81
134;68;1;13.0
135;68;34;11.08
136;69;23;13.95
137;69;22;11.97
138;69;19;13.58
139;70;23;11.92
140;71;16;16.31
141;72;40;11.3
142;72;32;16.49
143;72;5;13.06
144;73;43;11.03
145;74;1;16.93
146;74;18;13.69
147;74;22;15.56
