id;title;gps_position
1;Potager 1;48.810031,2.20374
2;Potager 2;49.176899,3.542281
3;Potager 3;48.480114,2.062292
4;Potager 4;47.957741,0.977354
5;Potager 5;49.45877,3.951945
6;Potager 6;47.617496,2.495194
7;Potager 7;49.575254,3.068892
8;Potager 8;47.616403,2.78026
9;Potager 9;48.857797,4.204311
10;Potager 10;49.774473,3.817132
11;Potager 11;48.919474,3.470479
12;Potager 12;48.686783,2.102958
13;Potager 13;48.805459,0.304483
14;Potager 14;48.879403,1.315282
15;Potager 15;49.093295,2.951757
16;Potager 16;48.243809,1.631638
17;Potager 17;48.553141,1.422912
18;Potager 18;48.182548,3.571973
19;Potager 19;48.301983,0.652307
20;Potager 20;49.423169,1.226008
21;Potager 21;49.364798,2.39529
22;Potager 22;48.764819,0.764922
23;Potager 23;48.719181,4.143778
24;Potager 24;48.593454,2.410905
25;Potager 25;49.509454,2.288514
26;Potager 26;49.409591,3.673615
27;Potager 27;49.82322,2.434247
28;Potager 28;47.844822,1.797055
29;Potager 29;48.135321,2.668936
30;Potager 30;48.766379,1.877395
31;Potager 31;47.95679,2.605659
32;Potager 32;49.366702,1.273647
33;Potager 33;50.046708,2.249507
34;Potager 34;48.262864,3.05361
35;Potager 35;49.678211,0.840717
36;Potager 36;47.899033,3.024288
37;Potager 37;48.993272,3.649069
38;Potager 38;49.107099,4.078085
39;Potager 39;49.587359,3.308665
40;Potager 40;49.066894,1.33158
41;Potager 41;48.086937,1.095182
42;Potager 42;48.5654,1.582361
43;Potager 43;48.264843,1.630419
44;Potager 44;48.579922,3.78132
45;Potager 45;48.992741,1.556469
46;Potager 46;48.666307,2.094174
47;Potager 47;49.461349,3.90433
48;Potager 48;49.559867,3.144259
49;Potager 49;49.722806,1.771202
50;Potager 50;48.612054,1.07223
51;Potager 51;49.029806,4.270945
52;Potager 52;48.892045,3.220626
53;Potager 53;50.138459,1.932446
54;Potager 54;48.803999,1.233052
55;Potager 55;49.600139,1.090318
56;Potager 56;49.358546,2.80552
57;Potager 57;48.986601,1.041095
58;Potager 58;49.497102,3.507346
59;Potager 59;49.397996,2.493578
60;Potager 60;50.011877,1.764235
61;Potager 61;48.495621,2.666008
62;Potager 62;49.923048,2.177091
63;Potager 63;47.98171,3.47872
64;Potager 64;48.245951,3.884918
65;Potager 65;48.012104,1.336073
66;Potager 66;48.588765,1.054757
67;Potager 67;47.872084,3.745828
68;Potager 68;48.413193,2.927162
69;Potager 69;48.63582,4.111904
70;Potager 70;49.732244,3.577239
71;Potager 71;48.602238,4.185641
72;Potager 72;48.165789,1.484735
73;Potager 73;49.14241,0.58976
74;Potager 74;48.130643,4.01997
75;Potager 75;48.332723,1.567996
76;Potager 76;47.628421,3.171209
77;Potager 77;49.585539,2.27828
78;Potager 78;47.671891,2.050115
79;Potager 79;49.172412,1.250165
80;Potager 80;50.046539,3.075383
81;Potager 81;47.90018,1.502875
82;Potager 82;48.349356,3.982217
83;Potager 83;49.692713,3.637755
84;Potager 84;48.281331,3.676775
85;Potager 85;48.557562,3.043628
86;Potager 86;48.310601,0.601505
87;Potager 87;49.03277,2.438123
88;Potager 88;48.381397,2.864545
89;Potager 89;48.4109,3.776096
90;Potager 90;47.973833,2.794802
91;Potager 91;49.196949,0.909307
92;Potager 92;47.807229,3.362493
93;Potager 93;49.101445,1.451627
94;Potager 94;47.563287,2.247009
95;Potager 95;49.230196,2.997233
96;Potager 96;48.147148,0.91284
97;Potager 97;49.544891,1.22376
98;Potager 98;47.63768,3.065751
99;Potager 99;49.659542,3.329773
100;Potager 100;48.535259,1.820299
101;Potager 101;49.095318,1.2664
102;Potager 102;49.172203,2.05241
103;Potager 103;49.531659,0.985166
104;Potager 104;49.555414,2.430657
105;Potager 105;48.404761,2.244286
106;Potager 106;48.739465,1.692867
107;Potager 107;48.435305,3.31623
108;Potager 108;48.266878,1.378492
109;Potager 109;47.829826,3.586123
110;Potager 110;48.001829,2.506176
111;Potager 111;48.290805,2.131202
112;Potager 112;49.950984,3.300835
113;Potager 113;47.890697,2.533106
114;Potager 114;49.221563,0.475267
115;Potager 115;49.572594,2.038299
116;Potager 116;48.304135,1.683585
117;Potager 117;48.133057,3.800432
118;Potager 118;48.750335,1.33352
119;Potager 119;47.880515,1.24033
120;Potager 120;48.681357,0.557167
121;Potager 121;48.98553,2.504282
122;Potager 122;49.6443,1.38342
123;Potager 123;49.770597,3.066857
124;Potager 124;48.497836,2.773093
125;Potager 125;49.737853,1.614265
126;Potager 126;48.87829,0.446323
127;Potager 127;48.656518,1.70588
128;Potager 128;48.155532,3.921936
129;Potager 129;47.670741,2.10206
130;Potager 130;49.146551,3.492343
131;Potager 131;49.281366,2.318055
132;Potager 132;49.647026,1.634504
133;Potager 133;47.687636,3.187161
134;Potager 134;48.238466,0.77832
135;Potager 135;48.946676,1.459208
136;Potager 136;49.652546,0.995445
137;Potager 137;50.043141,1.515185
138;Potager 138;48.827932,1.877991
139;Potager 139;47.595523,3.090033
140;Potager 140;49.376997,0.615394
141;Potager 141;48.290108,2.186347
142;Potager 142;48.697373,4.309928
143;Potager 143;47.577677,2.877462
144;Potager 144;49.518014,1.116786
145;Potager 145;49.085319,2.273506
146;Potager 146;48.989749,1.205546
147;Potager 147;47.53839,2.073145
148;Potager 148;47.522595,2.440632
149;Potager 149;48.990468,2.185883
150;Potager 150;49.425825,2.684424
151;Potager 151;48.667942,1.195469
152;Potager 152;48.381917,2.083589
153;Potager 153;48.950152,2.992627
154;Potager 154;48.719015,2.766143
155;Potager 155;48.566647,3.22133
156;Potager 156;48.485616,1.414612
157;Potager 157;48.577794,3.0995
158;Potager 158;48.489223,3.479046
159;Potager 159;49.175958,0.546571
160;Potager 160;49.598035,3.007187
161;Potager 161;49.046731,3.371296
162;Potager 162;49.503004,1.525019
163;Potager 163;48.289569,2.757064
164;Potager 164;49.313741,0.728547
165;Potager 165;49.620733,2.294463
166;Potager 166;49.001553,4.244498
167;Potager 167;48.528084,3.330351
168;Potager 168;48.044919,3.364828
169;Potager 169;47.927905,2.915806
170;Potager 170;49.557818,1.761982
171;Potager 171;49.954281,1.161446
172;Potager 172;48.976732,4.004524
173;Potager 173;48.848502,3.906394
174;Potager 174;49.063191,2.901508
175;Potager 175;48.100487,1.846722
176;Potager 176;48.684297,3.530394
177;Potager 177;49.461437,3.661615
178;Potager 178;48.533795,3.489281
179;Potager 179;49.748001,3.884173
180;Potager 180;49.126197,2.805437
181;Potager 181;48.756675,3.451962
182;Potager 182;49.223365,1.188797
183;Potager 183;48.479842,1.061083
184;Potager 184;48.797262,2.707451
185;Potager 185;47.75685,2.261988
186;Potager 186;48.619834,4.236301
187;Potager 187;47.739361,2.538688
188;Potager 188;47.696598,3.332653
189;Potager 189;48.429218,4.15013
190;Potager 190;50.008794,3.384873
191;Potager 191;48.812661,1.744335
192;Potager 192;48.377182,2.533266
193;Potager 193;48.963952,4.25639
194;Potager 194;48.017416,1.623044
195;Potager 195;48.695383,2.341986
196;Potager 196;49.843204,2.62038
197;Potager 197;49.69834,3.260463
198;Potager 198;49.134278,4.317916
199;Potager 199;49.142123,1.03068
200;Potager 200;49.23801,2.360819
201;Potager 201;49.450641,1.881418
202;Potager 202;49.679103,2.308253
203;Potager 203;49.171869,2.053247
204;Potager 204;48.152871,2.749746
205;Potager 205;49.040729,0.860745
206;Potager 206;49.114848,3.443478
207;Potager 207;48.278867,2.095777
208;Potager 208;48.729274,1.030277
209;Potager 209;48.761518,1.421069
210;Potager 210;48.352031,2.739119
211;Potager 211;49.042877,2.084069
212;Potager 212;48.600143,2.344002
213;Potager 213;49.395384,0.752828
214;Potager 214;47.664238,2.924941
215;Potager 215;48.999048,3.210739
216;Potager 216;49.622846,3.403136
217;Potager 217;49.494934,2.590336
218;Potager 218;49.310623,1.502235
219;Potager 219;49.114036,2.653633
220;Potager 220;49.297414,1.255516
221;Potager 221;47.84535,3.23049
222;Potager 222;50.107683,2.986597
223;Potager 223;48.187803,2.389524
224;Potager 224;48.603071,0.801694
225;Potager 225;48.027267,3.960433
226;Potager 226;47.946221,1.472799
227;Potager 227;49.316131,2.57737
228;Potager 228;48.613905,4.312081
229;Potager 229;48.309818,1.005988
230;Potager 230;48.379521,0.551499
231;Potager 231;47.806383,3.190135
232;Potager 232;47.832479,3.136791
233;Potager 233;49.343581,2.054028
234;Potager 234;48.875731,4.268824
235;Potager 235;49.058902,0.808802
236;Potager 236;48.75367,1.561379
237;Potager 237;50.031726,3.351082
238;Potager 238;49.569124,1.325877
239;Potager 239;48.339016,3.538142
240;Potager 240;49.806914,2.54884
241;Potager 241;49.607142,3.558763
242;Potager 242;48.768939,2.271037
243;Potager 243;49.458865,0.839776
244;Potager 244;48.424714,0.774408
245;Potager 245;48.566968,3.817527
246;Potager 246;47.986099,3.09222
247;Potager 247;48.582969,0.902697
248;Potager 248;50.022391,1.705597
249;Potager 249;48.855138,2.964134
250;Potager 250;49.263745,1.686934
251;Potager 251;48.509813,3.384511
252;Potager 252;49.876218,3.172237
253;Potager 253;48.001428,3.614247
254;Potager 254;49.236714,3.626396
255;Potager 255;48.583655,1.975269
256;Potager 256;48.938347,2.160568
257;Potager 257;50.116287,1.75119
258;Potager 258;48.727583,4.355428
259;Potager 259;47.627198,2.18544
260;Potager 260;49.707018,3.299514
261;Potager 261;48.180222,1.027514
262;Potager 262;47.602326,2.838239
263;Potager 263;48.504297,2.080036
264;Potager 264;48.572289,3.673415
265;Potager 265;49.939546,1.352643
266;Potager 266;48.93618,4.024214
267;Potager 267;49.700275,2.373181
268;Potager 268;49.14041,2.61557
269;Potager 269;49.764858,3.234985
270;Potager 270;48.34986,0.828866
271;Potager 271;49.855027,3.418748
272;Potager 272;47.886337,1.20011
273;Potager 273;48.913351,3.197847
274;Potager 274;47.588829,2.476235
275;Potager 275;48.780002,2.657926
276;Potager 276;48.55772,1.77289
277;Potager 277;49.759601,3.753442
278;Potager 278;49.026328,0.40481
279;Potager 279;50.041678,1.785326
280;Potager 280;49.940693,2.981722
281;Potager 281;49.965655,3.132586
282;Potager 282;47.911056,3.574398
283;Potager 283;50.185639,2.473998
284;Potager 284;49.168547,1.977073
285;Potager 285;48.255123,3.180427
286;Potager 286;49.099048,1.024674
287;Potager 287;48.96203,3.312648
