juice_price_id;discount;valid_until
5;0.38;2023-05-22T13:26:48+00:00
15;2.26;2023-11-02T10:20:34+00:00
16;0.92;2023-11-20T13:02:12+00:00
25;1.15;2023-06-29T19:16:56+00:00
30;1.06;2023-07-08T16:26:57+00:00
31;2.08;2023-05-22T04:12:07+00:00
36;2.18;2023-09-07T21:59:58+00:00
45;0.67;2023-10-20T21:31:09+00:00
52;1.88;2023-11-06T20:04:39+00:00
55;0.79;2023-07-01T20:08:44+00:00
65;0.96;2023-05-05T15:52:50+00:00
79;2.11;2023-08-24T20:32:10+00:00
83;1.2;2023-09-19T06:58:40+00:00
88;1.0;2023-10-17T19:07:06+00:00
92;0.54;2023-08-11T02:07:11+00:00
114;1.1;2023-11-23T05:15:33+00:00
115;0.57;2023-07-15T01:05:13+00:00
117;0.51;2023-05-21T21:50:09+00:00
118;0.67;2023-08-01T06:37:29+00:00
132;0.42;2023-09-18T07:19:27+00:00
135;0.54;2023-11-16T09:09:10+00:00
142;0.3;2023-10-22T20:41:57+00:00
145;1.09;2023-09-15T06:48:24+00:00
147;1.08;2023-05-03T02:10:41+00:00
159;0.55;2023-10-30T17:33:00+00:00
160;1.46;2023-06-19T18:20:06+00:00
164;1.37;2023-05-14T15:15:15+00:00
165;0.5;2023-07-15T11:48:59+00:00
168;1.69;2023-08-19T11:26:01+00:00
173;0.85;2023-11-18T04:49:53+00:00
174;1.74;2023-09-06T01:34:03+00:00
190;1.24;2023-09-21T10:06:50+00:00
191;0.33;2023-09-25T19:21:09+00:00
193;0.62;2023-06-09T04:18:54+00:00
205;1.33;2023-10-21T20:34:12+00:00
208;1.73;2023-11-30T09:28:44+00:00
211;0.93;2023-11-20T20:11:54+00:00
218;2.29;2023-06-18T12:07:34+00:00
219;1.32;2023-07-22T00:59:42+00:00
220;1.02;2023-08-25T16:10:14+00:00
221;2.16;2023-09-03T07:02:54+00:00
226;0.8;2023-07-01T18:46:27+00:00
227;1.6;2023-07-04T02:27:20+00:00
247;1.64;2023-10-21T07:19:24+00:00
253;0.98;2023-05-14T07:04:21+00:00
258;2.28;2023-09-14T12:44:39+00:00
262;0.89;2023-07-12T11:20:35+00:00
268;2.04;2023-08-30T21:09:10+00:00
271;0.43;2023-07-20T22:38:04+00:00
274;0.54;2023-11-28T17:48:27+00:00
278;0.93;2023-06-03T14:17:50+00:00
279;0.56;2023-06-17T07:27:48+00:00
291;1.21;2023-08-13T04:03:51+00:00
293;1.62;2023-06-05T01:59:05+00:00
294;1.09;2023-11-14T19:31:34+00:00
305;0.32;2023-08-17T02:33:24+00:00
307;1.04;2023-11-10T02:39:28+00:00
315;0.78;2023-06-13T22:51:47+00:00
317;0.98;2023-11-27T13:56:53+00:00
329;1.73;2023-05-01T19:52:12+00:00
330;1.19;2023-11-19T15:51:54+00:00
331;1.94;2023-08-09T19:31:21+00:00
332;1.19;2023-10-18T23:21:44+00:00
336;0.91;2023-09-11T10:35:57+00:00
339;1.45;2023-11-01T19:31:35+00:00
340;1.12;2023-06-29T01:45:03+00:00
345;0.94;2023-06-12T17:33:24+00:00
353;1.22;2023-07-15T14:11:01+00:00
355;0.54;2023-09-05T00:58:07+00:00
360;2.23;2023-10-17T04:04:29+00:00
363;1.73;2023-06-23T14:38:00+00:00
370;0.76;2023-10-21T10:26:56+00:00
371;1.35;2023-08-08T03:55:30+00:00
377;1.03;2023-11-16T23:59:58+00:00
381;1.57;2023-06-02T18:23:14+00:00
392;1.11;2023-08-25T20:58:09+00:00
393;0.61;2023-07-18T16:43:21+00:00
395;1.27;2023-05-03T21:18:55+00:00
397;1.58;2023-07-08T16:40:53+00:00
398;2.03;2023-06-07T08:55:08+00:00
400;1.08;2023-05-11T03:21:18+00:00
402;2.38;2023-09-03T17:39:00+00:00
405;0.57;2023-06-17T15:23:43+00:00
407;0.82;2023-06-18T09:26:50+00:00
414;2.26;2023-11-13T16:43:26+00:00
416;1.26;2023-06-13T22:11:55+00:00
417;1.64;2023-08-18T10:30:51+00:00
425;1.57;2023-05-15T07:47:25+00:00
426;0.97;2023-11-08T01:16:10+00:00
427;0.85;2023-10-05T14:49:19+00:00
439;1.02;2023-06-16T17:48:58+00:00
441;1.8;2023-08-14T06:29:46+00:00
457;1.46;2023-10-27T01:06:34+00:00
472;0.92;2023-09-22T13:31:00+00:00
476;0.43;2023-05-04T15:19:09+00:00
497;2.29;2023-09-11T03:37:28+00:00
499;1.13;2023-09-10T16:54:38+00:00
502;0.56;2023-05-17T00:05:20+00:00
511;0.5;2023-11-21T23:42:34+00:00
518;1.45;2023-05-02T09:16:26+00:00
521;1.49;2023-10-10T09:49:16+00:00
526;1.86;2023-10-30T16:44:56+00:00
546;0.99;2023-07-16T20:02:56+00:00
550;1.36;2023-11-04T04:13:36+00:00
575;1.93;2023-09-15T13:33:21+00:00
580;1.48;2023-10-29T08:57:47+00:00
595;0.8;2023-05-02T15:13:09+00:00
606;0.58;2023-10-11T02:07:34+00:00
612;0.3;2023-10-20T11:23:43+00:00
617;1.66;2023-09-07T20:04:51+00:00
620;0.38;2023-10-24T19:50:59+00:00
627;1.0;2023-10-03T14:16:14+00:00
630;0.57;2023-08-12T16:17:48+00:00
637;0.79;2023-09-29T19:59:22+00:00
641;0.71;2023-05-22T16:59:52+00:00
644;1.55;2023-10-31T03:15:35+00:00
648;1.57;2023-09-14T18:14:29+00:00
655;1.82;2023-05-02T14:52:22+00:00
661;0.35;2023-06-14T09:18:26+00:00
