id;garden_id;juice_id;price
1;1;2;5.83
2;2;14;3.77
3;2;12;5.73
4;4;15;5.19
5;4;3;3.8
6;6;6;5.29
7;8;5;5.51
8;8;15;4.49
9;9;14;3.63
10;9;3;5.68
11;10;15;5.04
12;10;11;4.24
13;12;10;5.68
14;12;6;3.49
15;13;2;5.65
16;13;1;4.62
17;14;2;4.17
18;14;4;5.86
19;16;12;5.62
20;17;2;4.27
21;17;12;3.93
22;18;1;5.99
23;18;9;3.81
24;20;10;3.31
25;20;2;5.77
26;21;4;3.74
27;22;15;5.42
28;22;10;3.84
29;23;4;5.84
30;24;7;5.29
31;24;10;5.2
32;25;2;5.5
33;25;12;4.49
34;26;11;3.38
35;26;4;5.61
36;27;11;5.45
37;27;15;5.69
38;29;11;5.67
39;32;2;5.02
40;32;8;5.66
41;33;6;4.32
42;34;7;5.5
43;34;11;5.76
44;35;12;4.1
45;35;1;3.37
46;36;11;5.79
47;38;14;3.36
48;38;9;5.35
49;39;2;4.11
50;40;2;3.85
51;40;12;4.93
52;43;5;4.7
53;44;6;5.42
54;44;10;4.93
55;45;9;3.95
56;45;8;3.72
57;46;3;4.57
58;46;6;5.15
59;47;11;3.06
60;48;6;3.99
61;48;15;3.59
62;49;5;3.34
63;51;8;3.9
64;52;7;3.66
65;52;4;3.19
66;55;2;4.95
67;55;1;4.89
68;62;11;5.49
69;63;10;3.59
70;63;14;5.23
71;64;3;3.35
72;64;7;3.46
73;65;6;3.45
74;65;2;5.58
75;66;9;3.71
76;66;7;4.78
77;67;10;5.9
78;67;4;3.27
79;68;7;5.27
80;69;7;3.12
81;69;12;3.22
82;70;8;3.73
83;71;12;5.99
84;71;6;4.83
85;72;9;4.15
86;75;14;3.71
87;75;11;5.49
88;76;11;5.01
89;76;2;3.73
90;77;1;3.65
91;78;4;4.95
92;78;9;5.37
93;79;8;5.88
94;79;9;3.33
95;80;6;4.03
96;80;14;3.24
97;81;8;5.71
98;83;2;3.08
99;84;9;3.65
100;85;7;4.04
101;85;10;5.72
102;86;9;3.35
103;86;14;5.81
104;87;10;3.37
105;88;2;5.6
106;88;15;4.36
107;89;9;3.33
108;89;8;4.08
109;91;6;5.08
110;92;9;3.66
111;92;4;4.27
112;95;1;3.11
113;96;7;3.09
114;97;15;3.67
115;98;3;5.69
116;99;9;4.59
117;100;6;5.14
118;100;15;3.34
119;101;13;4.28
120;103;7;3.1
121;104;1;3.22
122;104;5;3.33
123;105;10;4.84
124;105;2;4.23
125;106;13;5.96
126;106;7;5.25
127;107;12;3.57
128;110;1;3.22
129;111;15;4.35
130;112;11;3.07
131;113;7;5.98
132;113;11;4.21
133;114;3;4.68
134;114;11;6.0
135;115;13;5.39
136;117;8;3.52
137;117;6;4.46
138;118;9;5.97
139;118;11;3.69
140;119;1;3.43
141;119;4;5.89
142;120;14;3.03
143;121;8;4.78
144;121;14;5.85
145;122;10;5.43
146;122;11;4.58
147;123;10;5.42
148;123;12;4.14
149;124;2;4.68
150;125;6;5.95
151;125;4;3.49
152;126;8;4.6
153;126;14;3.06
154;127;12;4.21
155;128;11;5.39
156;128;7;5.57
157;130;8;4.7
158;130;5;5.76
159;131;10;5.46
160;132;8;4.86
161;132;13;4.02
162;133;9;4.61
163;133;3;5.64
164;134;8;3.42
165;134;10;5.04
166;135;3;3.07
167;135;12;4.81
168;137;7;4.22
169;137;1;4.57
170;138;14;4.45
171;138;9;3.38
172;139;1;3.6
173;139;13;4.26
174;143;3;5.8
175;143;9;4.14
176;146;5;5.26
177;148;8;4.54
178;149;7;5.08
179;149;3;5.16
180;150;12;3.69
181;150;3;5.74
182;151;14;3.54
183;152;1;5.48
184;153;7;3.31
185;153;13;3.24
186;156;14;4.26
187;157;4;3.76
188;158;9;4.72
189;158;14;4.63
190;159;10;4.12
191;160;6;3.25
192;160;3;3.04
193;161;6;3.11
194;161;14;3.73
195;163;15;3.79
196;165;14;5.95
197;166;7;5.5
198;168;3;3.12
199;168;11;3.86
200;171;8;3.96
201;172;12;5.37
202;172;13;5.07
203;174;13;4.86
204;174;3;3.56
205;176;2;3.33
206;176;3;3.59
207;177;6;4.34
208;177;10;4.33
209;178;15;5.5
210;179;7;5.67
211;180;1;3.11
212;181;1;3.08
213;181;6;5.79
214;182;6;4.91
215;183;1;3.11
216;183;9;4.88
217;185;13;5.69
218;187;1;5.73
219;187;5;4.39
220;188;15;5.08
221;191;8;5.4
222;192;8;4.94
223;192;3;4.78
224;193;4;4.01
225;195;13;4.77
226;197;9;4.02
227;198;5;5.35
228;198;2;4.45
229;200;10;3.95
230;201;1;4.63
231;201;15;3.8
232;202;10;4.14
233;204;10;5.08
234;205;5;3.97
235;206;9;4.26
236;208;8;4.51
237;208;15;4.03
238;209;5;5.69
239;210;9;4.68
240;213;12;4.2
241;214;1;4.26
242;215;13;5.07
243;217;10;3.44
244;219;9;5.98
245;219;15;3.58
246;220;11;4.62
247;220;8;4.1
248;221;4;5.18
249;222;4;5.08
250;225;14;3.24
251;225;13;3.56
252;226;1;3.85
253;226;4;3.27
254;228;11;4.31
255;230;6;4.74
256;230;1;3.82
257;232;2;3.54
258;234;3;5.7
259;234;6;3.33
260;235;14;5.32
261;235;12;4.28
262;238;3;4.45
263;239;7;3.46
264;239;9;5.44
265;240;12;5.39
266;241;6;3.11
267;242;13;5.36
268;242;9;5.1
269;245;5;5.66
270;245;1;3.16
271;246;4;4.35
272;246;1;3.48
273;249;15;3.0
274;250;1;5.36
275;250;13;3.94
276;252;6;5.52
277;253;14;3.07
278;254;8;4.65
279;254;14;5.59
280;255;4;3.35
281;255;11;5.71
282;256;4;4.04
283;257;15;3.92
284;258;15;4.12
285;259;15;4.17
286;260;14;3.19
287;261;8;5.75
288;261;2;3.11
289;262;2;5.93
290;262;1;5.0
291;263;3;4.02
292;263;13;3.46
293;264;10;5.4
294;264;12;3.65
295;265;8;4.97
296;265;13;5.09
297;266;6;5.07
298;268;15;3.88
299;270;8;3.35
300;271;15;3.18
301;271;14;4.62
302;273;7;5.89
303;273;4;5.28
304;274;15;5.0
305;274;11;3.23
306;275;4;4.68
307;279;3;5.22
308;279;6;5.54
309;280;6;3.15
310;280;3;4.34
311;283;14;5.24
312;283;15;5.45
313;284;7;5.06
314;285;2;3.29
315;286;6;3.89
316;286;13;4.73
317;287;11;3.26
318;287;2;4.87
319;288;10;3.75
320;290;15;5.78
321;290;6;5.68
322;291;12;5.64
323;294;6;4.51
324;295;13;3.66
325;295;1;5.72
326;296;13;3.48
327;297;7;3.31
328;299;15;5.79
329;300;2;4.33
330;300;11;5.95
331;303;4;4.85
332;305;9;5.96
333;305;8;3.87
334;306;6;5.5
335;307;9;4.88
336;307;2;4.55
337;309;9;4.69
338;311;14;4.3
339;315;3;3.63
340;315;12;5.6
341;316;4;3.89
342;316;1;3.7
343;320;10;4.68
344;320;12;4.35
345;321;11;3.15
346;321;4;4.11
347;322;12;4.64
348;322;3;3.87
349;323;10;3.97
350;324;10;5.14
351;324;13;5.34
352;326;2;3.07
353;327;6;3.06
354;327;10;3.86
355;328;12;5.37
356;328;15;3.04
357;332;9;5.24
358;334;8;4.55
359;334;2;4.7
360;335;2;5.58
361;336;6;3.79
362;336;14;4.0
363;337;14;4.33
364;337;7;3.67
365;338;1;5.6
366;338;7;5.87
367;341;4;4.51
368;341;13;3.8
369;343;13;5.61
370;343;2;3.81
371;345;4;4.5
372;345;14;5.37
373;346;9;5.49
374;347;11;3.78
375;347;12;3.49
376;351;11;5.28
377;351;6;5.14
378;352;3;3.24
379;352;5;4.85
380;353;11;4.12
381;354;9;3.92
382;354;3;5.24
383;355;2;5.69
384;355;5;5.39
385;356;8;3.59
386;356;2;5.04
387;357;10;5.67
388;357;3;3.56
389;359;12;4.23
390;359;10;5.01
391;361;15;3.22
392;361;6;3.71
393;362;4;3.05
394;362;13;4.99
395;363;14;3.18
396;363;11;4.2
397;364;13;5.28
398;364;5;5.07
399;365;4;3.83
400;369;2;5.4
401;369;15;3.86
402;370;8;5.94
403;374;5;4.22
404;375;12;3.4
405;376;11;5.74
406;376;3;4.08
407;378;2;4.1
408;378;12;4.83
409;380;12;4.67
410;380;7;4.15
411;381;15;5.78
412;382;14;3.03
413;383;8;3.98
414;384;13;5.64
415;385;6;3.82
416;385;10;4.2
417;388;13;4.09
418;389;6;4.34
419;389;14;5.24
420;391;12;4.4
421;392;4;3.96
422;393;10;4.72
423;396;9;5.13
424;396;5;5.13
425;397;6;5.22
426;401;9;4.86
427;401;15;4.23
428;402;2;3.75
429;403;15;3.26
430;403;7;4.73
431;404;13;3.75
432;404;9;5.69
433;405;8;3.64
434;406;2;5.97
435;407;1;4.07
436;408;2;4.85
437;408;4;4.84
438;409;7;3.29
439;411;12;5.09
440;412;11;5.51
441;412;7;4.49
442;413;8;3.71
443;413;15;4.98
444;414;10;5.03
445;414;6;4.64
446;415;6;5.23
447;415;12;5.36
448;417;7;3.2
449;418;10;4.2
450;419;11;5.8
451;421;3;3.8
452;421;13;3.47
453;423;4;3.8
454;423;2;3.07
455;426;5;4.15
456;427;5;5.49
457;428;10;4.88
458;428;6;5.38
459;431;4;3.62
460;434;1;3.76
461;435;8;5.13
462;435;11;5.66
463;436;15;3.03
464;436;8;3.6
465;437;4;3.38
466;437;10;5.37
467;438;6;5.35
468;439;9;4.8
469;440;8;5.73
470;444;9;5.69
471;444;6;3.22
472;445;8;4.58
473;446;12;3.32
474;447;2;3.05
475;447;15;4.86
476;448;10;4.34
477;451;15;4.04
478;453;8;3.96
479;454;4;4.71
480;454;10;4.43
481;456;1;5.73
482;456;13;3.49
483;458;4;4.57
484;461;10;3.93
485;462;8;5.26
486;463;14;4.39
487;463;7;5.06
488;464;11;3.62
489;465;7;4.27
490;465;13;5.25
491;466;3;4.98
492;466;12;5.16
493;467;12;3.45
494;468;12;5.88
495;469;7;4.23
496;469;15;5.36
497;471;7;5.73
498;471;14;3.88
499;473;9;3.78
500;474;9;3.2
501;474;11;4.96
502;476;3;5.57
503;476;8;4.9
504;478;11;3.83
505;478;7;3.1
506;479;4;3.5
507;482;15;4.04
508;482;1;4.81
509;483;2;4.93
510;485;12;4.71
511;485;15;5.04
512;486;1;4.22
513;486;5;5.79
514;489;11;3.88
515;489;5;5.14
516;490;14;3.3
517;491;8;4.96
518;492;7;4.82
519;492;5;5.02
520;493;11;4.99
521;494;2;4.98
522;494;1;3.77
523;495;2;3.09
524;495;13;3.16
525;496;9;5.72
526;496;13;4.64
527;497;1;5.97
528;499;6;4.88
529;499;4;5.37
530;500;12;3.67
531;500;1;5.85
