id;name
1;Abricot
2;Ail
3;Artichaut
4;Asperge
5;Aubergine
6;Betterave
7;Blette
8;Brocoli
9;Carotte
10;Carottes
11;Cassis
12;Céleri
13;Cerise
14;Champignon de Paris
15;Champignons de Paris
16;Châtaigne
17;Chou
18;Chou de Bruxelles
19;Chou-fleur
20;Choux
21;Choux de Bruxelles
22;Citron
23;Clémentine
24;Coing
25;Concombre
26;Courge
27;Courgette
28;Cresson
29;Échalote
30;Échalotte
31;Endive
32;Épinard
33;Fenouil
34;Figue
35;Fraise
36;Framboise
37;Groseille
38;Haricot vert
39;Kaki
40;Kiwi
41;Mâche
42;Maïs
43;Mandarine
44;Melon
45;Mirabelle
46;Mûre
47;Myrtille
48;Navet
49;Nectarine
50;Noisette
51;Noix
52;Oignon
53;Orange
54;Pamplemousse
55;Panais
56;Pastèque
57;Pêche
58;Petit pois
59;Poire
60;Poireau
61;Poivron
62;Pomme
63;Potiron
64;Prune
65;Radis
66;Raisin
67;Rhubarbe
68;Salade
69;Salsifis
70;Tomate
71;Topinambour
