vegetable_price_id;discount;valid_until
17;0.28;2023-07-15T01:54:56+00:00
24;0.31;2023-05-26T02:24:20+00:00
32;0.8;2023-09-30T12:14:44+00:00
44;0.1;2023-06-04T17:08:06+00:00
46;0.08;2023-05-16T14:08:50+00:00
48;0.57;2023-10-08T04:06:40+00:00
49;0.82;2023-11-29T23:50:38+00:00
50;0.6;2023-07-04T00:34:42+00:00
53;0.27;2023-11-10T23:48:38+00:00
57;0.97;2023-07-01T00:51:31+00:00
67;0.16;2023-08-24T10:30:30+00:00
69;0.12;2023-10-27T23:42:45+00:00
70;0.19;2023-10-01T07:51:48+00:00
78;0.49;2023-05-21T09:41:42+00:00
81;0.24;2023-10-04T08:38:55+00:00
91;0.27;2023-11-06T01:40:01+00:00
93;0.5;2023-09-22T15:07:06+00:00
101;0.22;2023-06-21T15:36:18+00:00
107;0.11;2023-06-07T07:57:35+00:00
110;0.03;2023-07-07T21:45:12+00:00
114;0.22;2023-06-12T22:51:50+00:00
115;1.02;2023-08-13T20:44:36+00:00
125;0.16;2023-09-15T03:14:30+00:00
128;0.44;2023-10-20T09:38:00+00:00
140;0.13;2023-10-21T04:44:06+00:00
143;0.08;2023-08-25T19:41:34+00:00
148;0.31;2023-05-26T14:25:48+00:00
149;0.8;2023-08-05T20:55:16+00:00
152;0.36;2023-06-17T03:14:05+00:00
156;0.43;2023-07-15T18:52:42+00:00
158;0.82;2023-05-20T05:39:10+00:00
166;0.05;2023-05-24T10:49:50+00:00
183;0.05;2023-10-03T05:28:48+00:00
186;0.14;2023-11-26T07:29:13+00:00
187;0.13;2023-05-29T14:56:02+00:00
193;0.54;2023-09-10T06:22:02+00:00
196;0.58;2023-10-13T03:36:34+00:00
201;0.27;2023-08-03T14:14:33+00:00
209;0.01;2023-11-25T18:37:29+00:00
214;0.52;2023-09-12T06:25:11+00:00
227;0.08;2023-05-31T03:31:07+00:00
236;0.02;2023-07-02T00:48:05+00:00
241;0.48;2023-11-18T12:02:47+00:00
253;0.18;2023-05-01T21:54:53+00:00
260;0.43;2023-11-08T10:00:09+00:00
265;0.42;2023-11-02T23:33:29+00:00
268;0.27;2023-05-11T06:29:28+00:00
283;0.46;2023-09-12T03:49:34+00:00
286;0.03;2023-09-10T16:13:00+00:00
