id;garden_id;vegetable_id;price
1;1;42;0.36
2;1;38;2.95
3;1;8;2.9
4;1;31;0.16
5;2;51;1.35
6;3;53;1.24
7;3;67;1.32
8;3;50;1.53
9;4;23;0.61
10;4;43;0.17
11;4;66;0.56
12;4;50;0.39
13;4;42;1.3
14;5;55;1.04
15;5;2;0.33
16;6;52;1.99
17;6;33;0.69
18;6;9;2.48
19;7;15;2.93
20;7;51;2.87
21;7;32;2.73
22;7;53;1.05
23;8;7;0.58
24;8;57;1.54
25;8;23;0.01
26;8;2;1.39
27;8;22;0.65
28;9;54;0.66
29;9;46;1.98
30;10;5;0.07
31;10;49;1.59
32;10;10;2.0
33;10;51;2.15
34;11;29;1.56
35;11;15;2.72
36;11;50;1.89
37;11;63;0.88
38;12;37;1.97
39;13;1;2.88
40;13;8;1.75
41;13;29;2.47
42;14;34;1.59
43;14;18;1.88
44;15;40;1.05
45;15;23;1.31
46;15;32;0.26
47;15;58;1.21
48;15;33;2.86
49;16;71;2.74
50;17;63;1.51
51;17;11;0.93
52;17;8;2.57
53;17;59;1.36
54;18;47;1.75
55;19;36;2.12
56;20;13;0.87
57;20;32;2.42
58;20;25;2.82
59;20;70;1.26
60;20;59;1.01
61;21;58;0.19
62;21;38;0.18
63;21;27;0.57
64;21;53;1.5
65;21;18;1.88
66;22;19;0.37
67;22;11;0.41
68;22;28;2.22
69;22;61;1.19
70;23;18;0.97
71;24;60;0.57
72;24;19;0.64
73;24;41;2.02
74;25;55;1.46
75;26;7;0.68
76;26;58;2.94
77;26;22;0.78
78;26;15;1.64
79;27;39;2.57
80;27;47;1.31
81;27;6;2.41
82;27;35;2.93
83;27;40;1.54
84;28;68;2.78
85;28;31;2.64
86;28;17;1.38
87;29;56;0.84
88;29;49;3.0
89;30;54;1.4
90;30;61;1.98
91;30;47;2.7
92;31;65;1.3
93;32;5;1.25
94;33;21;2.88
95;33;49;2.3
96;33;67;1.55
97;34;62;1.19
98;34;71;0.54
99;35;42;1.89
100;35;22;1.91
101;35;50;1.08
102;36;29;2.41
103;36;49;1.77
104;36;18;2.32
105;36;57;0.47
106;36;55;2.46
107;37;29;0.38
108;37;52;2.92
109;37;23;0.51
110;37;46;0.31
111;37;5;1.09
112;38;5;2.61
113;39;23;0.43
114;39;5;2.23
115;40;22;2.54
116;40;31;2.39
117;40;14;1.4
118;41;17;2.14
119;41;38;2.25
120;41;27;0.65
121;41;36;1.04
122;42;69;1.7
123;42;25;1.14
124;42;51;2.88
125;43;39;1.62
126;43;30;0.02
127;43;20;1.26
128;44;31;1.09
129;44;71;0.27
130;44;66;0.78
131;45;33;1.04
132;45;55;0.66
133;45;41;1.15
134;45;65;2.09
135;45;54;1.91
136;46;11;0.62
137;46;13;0.5
138;47;16;1.62
139;47;61;1.37
140;47;43;0.44
141;48;6;2.4
142;48;18;2.98
143;48;60;0.82
144;48;69;1.73
145;49;52;2.86
146;50;27;2.16
147;50;18;0.5
148;50;63;1.02
149;50;61;2.01
150;51;24;0.79
151;52;4;0.05
152;52;54;0.91
153;52;2;1.19
154;52;68;0.29
155;52;22;0.17
156;53;57;1.45
157;53;13;2.45
158;53;60;2.74
159;54;42;2.51
160;54;36;2.01
161;55;18;1.03
162;55;68;2.3
163;55;9;0.87
164;55;41;1.61
165;55;44;0.49
166;56;69;0.17
167;56;49;1.23
168;56;56;2.86
169;56;43;0.36
170;56;64;2.97
171;57;48;2.99
172;58;39;1.83
173;58;43;2.99
174;58;35;1.93
175;58;60;0.36
176;58;12;0.95
177;59;30;1.24
178;59;35;1.33
179;59;66;1.47
180;59;45;2.91
181;60;27;1.22
182;60;11;2.37
183;60;13;0.25
184;60;12;0.89
185;61;1;1.85
186;61;27;1.44
187;61;63;0.32
188;62;25;2.3
189;63;55;1.24
190;63;36;2.95
191;64;35;0.57
192;64;1;1.68
193;65;43;2.71
194;65;45;0.26
195;65;23;1.1
196;66;57;1.46
197;67;49;0.59
198;67;35;0.3
199;68;18;0.04
200;69;52;0.62
201;69;31;0.89
202;69;11;1.69
203;70;20;2.79
204;70;2;0.93
205;71;71;0.92
206;71;4;0.74
207;72;39;1.22
208;72;43;2.64
209;72;71;0.03
210;72;35;0.74
211;73;5;1.37
212;73;60;1.34
213;73;23;0.68
214;74;24;1.72
215;74;57;0.39
216;74;2;1.62
217;74;45;0.07
218;74;51;0.24
219;75;19;1.17
220;75;44;1.49
221;75;65;2.49
222;75;43;1.0
223;76;43;2.16
224;76;57;1.36
225;76;58;0.0
226;77;46;2.93
227;78;30;0.8
228;78;36;2.22
229;78;37;2.75
230;79;20;2.94
231;80;30;0.69
232;80;1;1.39
233;80;47;1.43
234;81;65;2.85
235;82;49;1.11
236;83;11;0.23
237;83;27;2.41
238;83;19;2.07
239;83;60;2.44
240;83;59;0.37
241;84;7;2.39
242;85;58;0.17
243;85;25;1.64
244;85;62;1.95
245;86;44;1.8
246;87;62;0.78
247;87;24;2.99
248;88;68;1.78
249;89;19;2.81
250;89;32;0.68
251;89;22;1.39
252;89;7;2.7
253;89;60;0.44
254;90;34;1.21
255;91;31;1.87
256;91;33;2.37
257;91;13;0.35
258;92;26;2.17
259;92;55;2.08
260;92;54;2.15
261;92;7;0.49
262;93;12;2.41
263;93;16;2.12
264;94;25;0.47
265;94;42;2.11
266;95;9;1.27
267;95;22;0.02
268;95;61;2.7
269;96;38;1.68
270;96;3;1.28
271;96;61;2.93
272;96;41;0.81
273;97;57;2.74
274;97;56;1.07
275;97;26;0.5
276;97;16;2.14
277;98;57;1.7
278;98;8;1.32
279;98;51;1.76
280;99;36;0.5
281;99;51;2.36
282;99;25;2.72
283;99;18;2.29
284;100;50;2.66
285;100;48;0.46
286;100;71;0.1
287;100;8;1.32
288;100;25;0.81
289;101;37;2.97
290;101;11;0.12
291;101;35;2.95
292;101;43;2.42
293;102;14;2.98
294;102;65;2.78
295;102;20;2.89
296;102;35;2.25
297;102;37;1.11
298;103;33;1.48
299;103;44;2.85
300;103;8;2.93
301;103;11;1.48
302;104;63;2.02
303;105;61;0.33
304;105;31;1.44
305;105;18;1.37
306;106;1;1.89
307;106;44;1.68
308;106;17;0.82
309;106;10;0.67
310;106;64;1.42
311;107;31;1.29
312;107;47;2.37
313;107;27;2.32
314;107;5;0.55
315;107;8;1.47
316;108;3;1.1
317;108;62;1.74
318;108;14;2.26
319;108;31;1.17
320;108;24;2.8
321;109;39;2.31
322;109;1;2.17
323;110;27;0.98
324;110;41;1.83
325;111;66;2.57
326;111;17;2.17
327;111;39;2.59
328;111;12;0.72
329;111;68;2.56
330;112;56;1.69
331;112;45;1.87
332;113;46;2.48
333;113;37;0.38
334;114;68;2.61
335;114;44;1.54
336;114;23;2.55
337;114;29;2.65
338;114;45;1.41
339;115;41;1.48
340;115;39;2.25
341;115;21;0.39
342;116;33;0.93
343;116;68;2.92
344;116;49;0.31
345;116;43;1.19
346;117;55;2.34
347;117;13;2.06
348;117;16;0.14
349;117;21;2.75
350;118;5;0.91
351;118;9;1.45
352;119;9;2.29
353;119;55;1.59
354;119;21;0.46
355;119;61;2.09
356;120;18;1.42
357;120;43;0.13
358;120;68;2.27
359;120;55;0.17
360;120;8;1.44
361;121;34;0.17
362;122;28;2.97
363;123;20;1.62
364;123;43;1.18
365;123;54;1.01
366;124;39;2.94
367;124;30;1.4
368;124;60;0.93
369;125;56;2.03
370;126;5;0.95
