id;garden_id;wine_id;price
1;4;437;6.52
2;5;622;22.47
3;6;180;4.2
4;10;187;11.24
5;11;683;10.7
6;15;516;6.85
7;16;33;22.57
8;19;76;18.21
9;21;472;18.03
10;23;293;22.85
11;24;369;7.45
12;25;121;9.81
13;26;289;6.54
14;27;597;3.61
15;29;443;17.7
16;33;364;10.76
17;37;518;9.58
18;39;78;16.26
19;41;199;6.83
20;44;4;21.17
21;49;735;8.12
22;50;341;5.9
23;51;266;3.6
24;53;112;18.8
25;54;28;22.21
26;57;663;5.99
27;60;221;17.01
28;62;272;13.65
29;63;127;12.95
30;70;614;3.41
31;71;342;5.68
32;72;487;15.32
33;74;571;14.2
34;75;239;11.94
35;79;91;4.38
36;82;67;21.75
37;83;600;3.3
38;85;550;19.78
39;87;289;11.1
40;88;577;3.58
41;90;470;16.88
42;93;477;11.6
43;96;646;14.91
44;98;610;20.94
45;102;41;13.45
46;104;370;16.18
47;106;714;21.58
48;107;154;10.11
49;109;717;14.08
50;111;555;18.08
51;117;578;16.63
52;120;446;14.83
53;125;351;6.7
54;126;447;17.89
55;127;593;15.04
56;128;446;5.49
57;130;12;22.82
58;134;215;19.7
59;136;635;11.78
60;137;364;3.25
61;139;657;6.03
62;140;119;17.45
63;142;19;12.67
64;144;782;4.28
65;147;121;18.85
66;151;333;20.69
67;155;586;21.97
68;156;59;16.27
69;158;517;15.48
70;159;534;18.17
71;161;557;21.2
72;162;275;9.42
73;163;16;14.07
74;164;664;4.59
75;165;625;15.6
76;166;205;16.92
77;167;261;12.83
78;168;514;15.25
79;170;348;3.95
80;171;378;13.16
81;172;289;19.63
82;175;408;17.15
83;176;234;3.43
84;178;588;13.57
85;180;537;18.44
86;182;107;11.25
87;183;617;17.09
88;185;594;4.44
89;186;683;12.12
90;187;90;4.35
91;188;607;16.06
92;189;507;12.05
93;190;203;16.07
94;192;627;14.06
95;193;208;5.95
96;198;737;11.31
97;199;377;17.37
98;201;237;17.46
99;202;741;4.96
100;203;738;13.33
101;204;151;9.96
102;206;580;21.95
103;207;718;4.43
104;209;301;13.45
105;210;284;14.72
106;211;36;5.1
107;212;666;9.02
108;213;326;14.36
109;214;416;19.31
110;217;578;18.47
111;218;146;4.25
112;219;769;8.4
113;221;758;17.16
114;224;519;4.5
115;225;352;16.11
116;227;113;18.3
117;228;246;21.84
118;231;729;20.92
119;232;751;5.76
120;234;706;17.03
121;236;128;15.64
122;237;600;10.9
123;238;121;16.13
124;239;758;8.61
125;241;169;22.46
126;242;265;19.26
127;243;368;13.98
128;244;693;14.55
129;245;321;14.74
130;250;295;3.02
131;251;137;11.59
132;252;148;8.36
133;255;25;17.48
134;256;557;8.39
135;257;380;11.63
136;261;507;3.76
137;264;155;7.7
138;266;447;8.83
139;267;232;3.92
140;268;220;7.87
141;275;483;7.41
142;277;605;9.41
143;280;654;22.63
144;281;378;11.77
145;282;151;8.9
146;284;601;15.64
147;286;416;6.45
148;288;293;12.19
149;289;504;20.21
150;293;136;22.86
151;296;476;11.09
152;298;221;12.98
153;300;240;14.54
154;301;560;21.68
155;302;517;13.19
156;303;317;21.12
157;305;753;6.98
158;309;138;3.45
159;310;546;10.74
160;312;643;12.43
161;313;587;22.84
162;314;268;19.57
163;315;36;4.55
164;316;701;10.36
165;317;54;17.91
166;318;527;11.55
167;319;705;20.99
168;320;534;22.39
169;321;773;4.59
170;325;681;9.56
171;326;690;15.11
172;327;60;21.57
173;329;414;13.53
174;332;350;11.92
175;334;205;17.49
176;335;471;16.58
177;336;303;15.23
178;337;199;11.33
179;338;155;22.5
180;339;717;17.6
181;340;384;20.02
182;343;770;14.17
183;344;754;16.89
184;346;103;3.48
185;347;197;18.19
186;350;566;7.01
187;351;594;18.69
188;352;137;8.64
189;353;191;11.76
190;354;69;20.37
191;355;768;17.99
192;356;181;20.37
193;357;671;19.96
